Wall time,Step,Value
1622126751.2954087,50000,7.451099872589111
1622126889.4649882,100000,7.497200012207031
1622127006.3204796,150000,6.333600044250488
1622127123.7814727,200000,6.240099906921387
1622127240.3134625,250000,6.781199932098389
1622127356.0694482,300000,7.103400230407715
1622127466.9544141,350000,7.3206000328063965
1622127577.322378,400000,7.229700088500977
1622127684.5123277,450000,6.669899940490723
1622127794.1742883,500000,7.634900093078613
1622127900.5547357,550000,6.850100040435791
1622128008.7606905,600000,7.3053998947143555
1622128115.7891397,650000,7.512800216674805
1622128221.2430835,700000,7.789700031280518
1622128329.2975366,750000,7.640200138092041
1622128433.533474,800000,8.181099891662598
1622128539.5968676,850000,7.616399765014648
1622128644.5452247,900000,7.655200004577637
1622128748.4420805,950000,8.602399826049805
1622128853.492935,1000000,8.961700439453125
1622128958.00429,1050000,9.124500274658203
1622129062.500145,1100000,8.809200286865234
1622129166.9445004,1150000,8.572799682617188
1622129271.3138552,1200000,9.62279987335205
1622129376.3302135,1250000,8.264699935913086
1622129480.5910668,1300000,9.275099754333496
1622129584.871422,1350000,8.240500450134277
1622129689.0897758,1400000,7.936100006103516
1622129794.515634,1450000,8.161299705505371
1622129906.3315146,1500000,8.798199653625488
1622130034.7519507,1550000,8.68340015411377
1622130153.6193554,1600000,9.170700073242188
1622130263.1337311,1650000,7.861599922180176
1622130370.5670931,1700000,8.94890022277832
1622130478.5899603,1750000,8.949600219726562
1622130586.4643269,1800000,9.786700248718262
1622130698.0097058,1850000,9.330400466918945
1622130807.4460807,1900000,9.186599731445312
1622130928.978992,1950000,10.484100341796875
1622131056.4499009,2000000,9.096699714660645
1622131177.5427883,2050000,9.498499870300293
1622131308.0207052,2100000,9.363100051879883
1622131435.6986134,2150000,9.18589973449707
1622131571.7815495,2200000,8.812100410461426
1622131690.3329294,2250000,8.729499816894531
1622131804.3697944,2300000,8.983099937438965
1622131920.4706657,2350000,8.446399688720703
1622132034.6160307,2400000,10.26729965209961
1622132150.0304005,2450000,10.022199630737305
1622132266.3847744,2500000,9.992199897766113
1622132404.943716,2550000,9.618200302124023
1622132530.0746164,2600000,9.138299942016602
1622132645.4114852,2650000,9.701700210571289
1622132757.943346,2700000,8.642499923706055
1622132871.6627095,2750000,8.292099952697754
1622132984.7575717,2800000,10.26609992980957
1622133101.8639467,2850000,9.432000160217285
1622133216.2923124,2900000,8.718000411987305
1622133340.3817277,2950000,8.796699523925781
1622133475.7066422,3000000,8.0246000289917
1622133604.5205548,3050000,9.50469970703125
1622133714.7664077,3100000,8.258199691772461
1622133824.2722578,3150000,9.952899932861328
1622133934.5956106,3200000,9.330599784851074
1622134069.1805418,3250000,10.324700355529785
1622134206.65048,3300000,9.260700225830078
1622134343.6484196,3350000,9.175200462341309
1622134472.0638309,3400000,9.879799842834473
1622134584.7186766,3450000,9.672499656677246
1622134698.9275074,3500000,8.487899780273438
1622134811.2418332,3550000,9.213500022888184
1622134924.7611625,3600000,8.095600128173828
1622135038.290492,3650000,9.428199768066406
1622135166.8383634,3700000,9.60099983215332
1622135301.1416614,3750000,8.984299659729004
1622135461.3027062,3800000,9.654500007629395
1622135590.3890803,3850000,9.344200134277344
1622135704.3269107,3900000,9.98550033569336
1622135810.4117181,3950000,9.258299827575684
1622135915.8850243,4000000,9.913200378417969
1622136021.688833,4050000,9.010000228881836
1622136127.3189325,4100000,9.519800186157227
1622136230.4370885,4150000,8.652400016784668
1622136334.844321,4200000,9.9306001663208
1622136449.3296576,4250000,10.802399635314941
1622136577.5538113,4300000,10.485899925231934
1622136695.7683682,4350000,10.377900123596191
1622136800.276607,4400000,9.151399612426758
1622136905.4708874,4450000,10.129199981689453
1622137008.9815671,4500000,9.053899765014648
1622137112.2557333,4550000,11.312000274658203
1622137217.4735146,4600000,9.897000312805176
1622137323.2178273,4650000,10.95580005645752
1622137426.9220185,4700000,10.57409954071045
1622137531.1157386,4750000,10.926600456237793
1622137634.99344,4800000,9.024299621582031
1622137738.4671173,4850000,9.769000053405762
1622137842.7313411,4900000,10.624500274658203
1622137946.2495222,4950000,10.286600112915039
1622138050.215729,5000000,10.286700248718262
