Wall time,Step,Value
1621591731.7436712,100000,-4.890999794006348
1621591882.9129524,200000,-4.8678998947143555
1621592034.4287448,300000,-4.846199989318848
1621592188.2683365,400000,-4.803800106048584
1621592340.3537076,500000,-4.831200122833252
1621592491.6582413,600000,-4.848100185394287
1621592642.4938357,700000,-4.8333001136779785
1621592792.8418825,800000,-4.883900165557861
1621592944.2736616,900000,-4.8734002113342285
1621593094.7024586,1000000,-4.855299949645996
1621593243.5943463,1100000,-4.854400157928467
1621593393.9806871,1200000,-4.810100078582764
1621593545.4426715,1300000,-4.856299877166748
1621593696.0592206,1400000,-4.879000186920166
1621593846.7019098,1500000,-4.84660005569458
1621593997.2326705,1600000,-4.802499771118164
1621594148.282621,1700000,-4.8140997886657715
1621594297.1855905,1800000,-4.851600170135498
1621594445.6797018,1900000,-4.860899925231934
1621594593.8627152,2000000,-4.8684000968933105
1621594742.2537973,2100000,-4.9096999168396
1621594901.052586,2200000,-4.895500183105469
1621595051.9501038,2300000,-4.840700149536133
1621595202.5854826,2400000,-4.73199987411499
1621595354.8139439,2500000,-4.757900238037109
1621595505.309497,2600000,-4.683499813079834
1621595656.7236333,2700000,-4.764699935913086
1621595807.444234,2800000,-4.637899875640869
1621595957.8209288,2900000,-4.844799995422363
1621596108.3489985,3000000,-4.434000015258789
1621596259.041735,3100000,-4.639999866485596
1621596410.8370986,3200000,-4.434800148010254
1621596559.5507987,3300000,-4.3958001136779785
1621596709.8004181,3400000,-4.122000217437744
1621596861.0632727,3500000,-4.1707000732421875
1621597011.5650647,3600000,-3.7894999980926514
1621597163.5133066,3700000,-3.394700050354004
1621597325.1837525,3800000,-3.6215999126434326
1621597481.0095437,3900000,-3.8499999046325684
1621597630.1885374,4000000,-3.0833001136779785
1621597774.5105166,4100000,-3.1621999740600586
1621597912.4823933,4200000,-3.1714000701904297
1621598050.2813354,4300000,-2.8610999584198
1621598188.2015722,4400000,-2.264699935913086
1621598326.0858395,4500000,-3.0810999870300293
1621598463.7934313,4600000,-2.529400110244751
1621598600.7097528,4700000,-2.657099962234497
1621598737.9016385,4800000,-2.5429000854492188
1621598875.2699952,4900000,-2.9428999423980713
1621599013.338179,5000000,-2.264699935913086
1621599152.8908503,5100000,-2.676500082015991
1621599292.8451822,5200000,-2.176500082015991
1621599432.7049186,5300000,-1.8529000282287598
1621599572.1792004,5400000,-1.9714000225067139
1621599711.6865284,5500000,-2.411799907684326
1621599851.4687867,5600000,-1.8529000282287598
1621599998.241589,5700000,-1.3824000358581543
1621600137.271954,5800000,-1.7273000478744507
1621600275.7089531,5900000,-1.4242000579833984
1621600414.0372171,6000000,-1.4118000268936157
1621600552.2831814,6100000,-1.5455000400543213
1621600690.6472466,6200000,-1.9118000268936157
1621600831.647578,6300000,-1.6060999631881714
1621600971.9820073,6400000,-1.5
1621601110.4182448,6500000,-1.5881999731063843
1621601249.3825955,6600000,-1.5757999420166016
1621601388.0908403,6700000,-2.058799982070923
1621601527.1452775,6800000,-1.7352999448776245
1621601665.220461,6900000,-1.5587999820709229
1621601802.3654215,7000000,-1.3939000368118286
1621601939.5190463,7100000,-1.0303000211715698
1621602076.0677888,7200000,-1.2352999448776245
1621602213.0602899,7300000,-1.6764999628067017
1621602349.847108,7400000,-1.3029999732971191
1621602486.582106,7500000,-1.3235000371932983
1621602622.966223,7600000,-0.9394000172615051
1621602759.2950237,7700000,-1.2352999448776245
1621602895.8936458,7800000,-1.5587999820709229
1621603033.057533,7900000,-1.4118000268936157
1621603169.8967447,8000000,-1.2121000289916992
1621603307.308342,8100000,-1.0293999910354614
1621603446.4633796,8200000,-0.9412000179290771
1621603591.9702446,8300000,-1.333299994468689
1621603735.8941796,8400000,-1.2352999448776245
1621603874.5477805,8500000,-1.7878999710083008
1621604013.6870043,8600000,-1.4544999599456787
1621604160.493639,8700000,-1.2352999448776245
1621604331.4119945,8800000,-1.4706000089645386
1621604486.581074,8900000,-1.4242000579833984
1621604642.5028813,9000000,-1.294100046157837
1621604798.42295,9100000,-1.4847999811172485
1621604954.6519008,9200000,-1.1470999717712402
1621605111.1945374,9300000,-1.0
1621605267.922991,9400000,-1.5455000400543213
1621605424.8212051,9500000,-1.2726999521255493
1621605580.9218433,9600000,-1.2647000551223755
1621605736.7026324,9700000,-1.1211999654769897
1621605893.0630572,9800000,-1.5293999910354614
1621606049.606178,9900000,-1.6363999843597412
1621606205.4761662,10000000,-1.8529000282287598
