Wall time,Step,Value
1622054584.744491,100000,6.565299987792969
1622054730.8030972,200000,6.929800033569336
1622054892.934431,300000,7.145599842071533
1622055062.7654638,400000,6.900100231170654
1622055232.9877903,500000,7.1579999923706055
1622055376.3463414,600000,7.310299873352051
1622055510.2345297,700000,7.13129997253418
1622055644.2172282,800000,6.820899963378906
1622055777.224686,900000,7.1097002029418945
1622055928.3209195,1000000,6.736599922180176
1622056074.6839404,1100000,6.876999855041504
1622056229.4337397,1200000,7.006899833679199
1622056380.8176348,1300000,7.239299774169922
1622056516.7625618,1400000,7.277500152587891
1622056662.9753966,1500000,6.889900207519531
1622056796.9254153,1600000,7.08650016784668
1622056930.1097734,1700000,6.9274001121521
1622057062.5705318,1800000,6.867599964141846
1622057196.7087023,1900000,7.461900234222412
1622057331.3173213,2000000,6.726099967956543
1622057465.9688118,2100000,7.159200191497803
1622057602.904541,2200000,6.991799831390381
1622057736.4260957,2300000,6.68120002746582
1622057872.13841,2400000,6.832399845123291
1622058032.3224347,2500000,6.974899768829346
1622058167.2993615,2600000,6.830100059509277
1622058303.4500191,2700000,6.763999938964844
1622058437.1220737,2800000,7.245200157165527
1622058571.5231025,2900000,7.293799877166748
1622058704.5644855,3000000,6.82480001449585
1622058837.7430792,3100000,6.747099876403809
1622058972.934564,3200000,6.8846001625061035
1622059104.692441,3300000,7.057799816131592
1622059238.6569796,3400000,7.099899768829346
1622059372.929222,3500000,6.845900058746338
1622059506.2176883,3600000,6.6545000076293945
1622059641.8864338,3700000,6.748600006103516
1622059775.7341597,3800000,6.956099987030029
1622059930.9095845,3900000,6.978499889373779
1622060068.625797,4000000,7.339600086212158
1622060204.7316346,4100000,6.699399948120117
1622060342.5705426,4200000,6.9019999504089355
1622060478.324554,4300000,6.7093000411987305
1622060624.7007914,4400000,6.900199890136719
1622060759.2613628,4500000,6.423500061035156
1622060896.355232,4600000,6.576600074768066
1622061029.7272425,4700000,6.780300140380859
1622061166.8624613,4800000,6.804500102996826
1622061303.3008616,4900000,7.268700122833252
1622061457.7752519,5000000,6.973899841308594
1622061606.518508,5100000,6.735499858856201
1622061746.6847107,5200000,6.982699871063232
1622061879.8273435,5300000,7.37939977645874
1622062013.232851,5400000,6.491799831390381
1622062147.281354,5500000,6.8358001708984375
1622062280.0873265,5600000,6.374599933624268
1622062414.1233246,5700000,7.009399890899658
1622062557.6915915,5800000,6.829699993133545
1622062694.32371,5900000,6.898099899291992
1622062827.939577,6000000,7.359899997711182
1622062961.7121549,6100000,7.464900016784668
1622063108.2134013,6200000,6.579400062561035
1622063261.0159583,6300000,6.722300052642822
1622063427.7903843,6400000,6.864699840545654
1622063567.128707,6500000,7.570499897003174
1622063716.0360696,6600000,6.9390997886657715
1622063863.4838514,6700000,7.277400016784668
1622064010.35242,6800000,7.333899974822998
1622064152.7965512,6900000,7.254199981689453
1622064299.0147274,7000000,7.000999927520752
1622064450.5150287,7100000,7.243299961090088
1622064595.0319233,7200000,6.866000175476074
1622064745.0380468,7300000,7.235499858856201
1622064898.0588508,7400000,7.0167999267578125
1622065039.118575,7500000,6.856900215148926
1622065175.9366434,7600000,6.710700035095215
1622065315.6707556,7700000,7.065000057220459
1622065451.928465,7800000,6.83650016784668
1622065590.3684945,7900000,6.445899963378906
1622065733.3006773,8000000,6.770699977874756
1622065871.3530295,8100000,6.796000003814697
1622066008.8085833,8200000,6.702899932861328
1622066147.3030167,8300000,7.3358001708984375
1622066293.5348556,8400000,7.153500080108643
1622066444.8885343,8500000,6.488800048828125
1622066599.9913049,8600000,7.0914998054504395
1622066755.0050027,8700000,6.624899864196777
1622066908.1569552,8800000,7.033299922943115
1622067071.0858457,8900000,6.542699813842773
1622067225.978646,9000000,6.960899829864502
1622067366.5218337,9100000,6.493500232696533
1622067505.1232283,9200000,6.970099925994873
1622067642.2850761,9300000,7.23390007019043
1622067779.3661735,9400000,7.813399791717529
1622067916.9680996,9500000,7.138899803161621
1622068049.633637,9600000,6.903600215911865
1622068184.4223506,9700000,7.267000198364258
1622068319.6430674,9800000,6.999300003051758
1622068457.5625236,9900000,6.845900058746338
1622068590.7140787,10000000,6.986100196838379
