Wall time,Step,Value
1621949983.7502685,100000,6.670300006866455
1621950139.270867,200000,6.643700122833252
1621950296.859424,300000,6.556399822235107
1621950553.8495514,400000,7.216700077056885
1621950862.9139597,500000,7.0395002365112305
1621951168.8009477,600000,7.520899772644043
1621951479.6376247,700000,7.009300231933594
1621951817.11057,800000,7.0858001708984375
1621952146.5707045,900000,7.383699893951416
1621952502.505136,1000000,7.334199905395508
1621952860.6397202,1100000,7.072299957275391
1621953177.8523903,1200000,7.053999900817871
1621953486.1200337,1300000,6.9197998046875
1621953790.7027166,1400000,6.344600200653076
1621954096.163361,1500000,6.408599853515625
1621954405.599118,1600000,7.099599838256836
1621954712.8250873,1700000,7.569499969482422
1621955020.128076,1800000,6.9430999755859375
1621955352.1420228,1900000,6.65749979019165
1621955665.649995,2000000,6.567399978637695
1621955981.0271947,2100000,6.467199802398682
1621956292.8386798,2200000,6.193699836730957
1621956607.9348469,2300000,7.179200172424316
1621956944.7008376,2400000,6.493599891662598
1621957304.1258824,2500000,6.623499870300293
1621957612.7882383,2600000,6.5817999839782715
1621957926.5115068,2700000,7.301199913024902
1621958232.6997495,2800000,6.969200134277344
1621958545.4079227,2900000,7.067599773406982
1621958854.6713533,3000000,6.246799945831299
1621959200.5880625,3100000,7.100500106811523
1621959513.0525656,3200000,7.10890007019043
1621959839.3585496,3300000,6.796000003814697
1621960166.500265,3400000,6.869999885559082
1621960484.325988,3500000,6.822400093078613
1621960792.3030937,3600000,6.8302998542785645
1621961098.604867,3700000,6.577400207519531
1621961408.6730866,3800000,6.894899845123291
1621961726.5792358,3900000,6.885799884796143
1621962069.1092172,4000000,6.688600063323975
1621962378.8583186,4100000,6.888700008392334
1621962691.576929,4200000,6.864299774169922
1621962999.1685994,4300000,6.89169979095459
1621963338.400501,4400000,6.705100059509277
1621963652.0013998,4500000,6.745200157165527
1621963966.5456476,4600000,7.292600154876709
1621964276.684454,4700000,7.177700042724609
1621964584.7664254,4800000,7.466899871826172
1621964911.3134131,4900000,6.971399784088135
1621965264.5269108,5000000,6.9695000648498535
1621965619.8859107,5100000,7.31790018081665
1621965951.4469101,5200000,7.111499786376953
1621966266.6419103,5300000,6.7042999267578125
1621966579.3814132,5400000,6.973100185394287
1621966865.859911,5500000,6.8628997802734375
1621967185.1771498,5600000,7.006999969482422
1621967445.706649,5700000,6.8394999504089355
1621967775.6651497,5800000,7.185299873352051
1621968067.5006495,5900000,7.053299903869629
1621968378.2436492,6000000,6.541399955749512
1621968686.1676512,6100000,6.4257001876831055
1621968909.3311522,6200000,7.104100227355957
1621969116.08365,6300000,6.571499824523926
1621969332.2736492,6400000,7.010799884796143
1621969601.2181494,6500000,7.042699813842773
1621969913.6021516,6600000,7.382999897003174
1621970245.6751518,6700000,6.878399848937988
1621970563.3561497,6800000,6.719699859619141
1621970862.9496517,6900000,6.6350998878479
1621971187.3591502,7000000,6.591300010681152
1621971502.6471522,7100000,6.6407999992370605
1621971812.471149,7200000,6.815800189971924
1621972123.8690891,7300000,6.9741997718811035
1621972431.7103994,7400000,6.531700134277344
1621972751.4805348,7500000,5.558199882507324
1621973059.4398208,7600000,6.406300067901611
1621973367.0810719,7700000,6.498199939727783
1621973674.4770598,7800000,6.711999893188477
1621973978.2240133,7900000,6.855000019073486
1621974293.75748,8000000,6.680600166320801
1621974603.1154995,8100000,7.295199871063232
1621974912.6440413,8200000,7.386499881744385
1621975221.8610368,8300000,7.506899833679199
1621975531.2974253,8400000,6.984000205993652
1621975847.3416624,8500000,6.956200122833252
1621976191.7635493,8600000,6.520199775695801
1621976522.8121314,8700000,6.926199913024902
1621976836.0483036,8800000,7.01230001449585
1621977149.948992,8900000,6.926599979400635
1621977464.3691926,9000000,6.794099807739258
1621977779.8604171,9100000,7.022500038146973
1621978092.0780668,9200000,6.874300003051758
1621978408.1388047,9300000,6.893499851226807
1621978720.959468,9400000,7.417099952697754
1621979037.6693907,9500000,7.5177001953125
1621979350.1012,9600000,6.715199947357178
1621979699.0555484,9700000,6.442699909210205
1621980014.2968643,9800000,6.644100189208984
